cid	lang	wid	lemma	comment	iids	examples	is_basic	scenes	bunrui
11034	ar	280	طول (morph:pl أطوال)	縦	85	هذا الرف طوله 90 سنتيمترا وعرضه 50 سنتيمترا.‏|この棚は、高さが90cmで横幅が50cmです。	1	空間	1.1740
11065	ar	283	تَحْتَ	［前置詞］～の下に（below）√تحت;<p class='search_txt'>تحت</p>	289;1075	أخرجت والدتي منديلا ومسحت الدموع التي كانت تحت نظارتها.‏|母はハンカチを取り出し、眼鏡の下の涙をぬぐった。;;;تحت المسجد آثار قديمة.‏|モスクの下には古い遺跡があります。	1	空間	1.1741
11063	ar	285	فَوْقَ	［前置詞］～の上に（above）√فوق;<p class='search_txt'>فوق</p>	291	تلبس بعض النساء عباءة سوداء فوق الملابس عند الخروج من البيوت.‏|家の外に出る時には、洋服の上に黒いアバーヤを着る女性もいます。	1	空間	1.1741
10985	ar	287	بَعْدُ	［副詞］まだ（～ない）√بعد;<p class='search_txt'>بعد</p>	81;3;46;77;127;130;317;323;394;2090;1396;2910;2765;3054;1421;776;2505;2948;1575;2897;675;2728;787;1310;2764;3134;635;2750;2818;1422;2582;2785;999;3072;1260;2900;2884;1307;3168;1357;965;1395;3028;2713;2836;1376;2945;2766;2662	يقضي والدي معظم وقته في البيت بعد تقاعده عن العمل.‏|退職後、父はほとんどの時間を家の中で過ごしている。;;;مددت يدي ورجلي بعد أن هبطت الطائرة.‏|飛行機の着陸後、私は両手両足を伸ばした。;;;سأتصل بكم بالهابف بعد غد.‏|明後日、お電話差し上げます。;;;لا نتس أن تنظف أسنانك بعد الأكل.‏|食後に歯を磨くのを忘れないようにね。;;;كثيرا ما أذهب إلى مكتب الأستاذ بعد المحاضرة لأسأله بعض الأسئلة.‏|私はよく授業後に先生の研究室へ質問をしに行きます。;;;متى تبدأون الحفلة ؟ ... تبدأ بعد الدرس.‏|パーティーはいつ始めるの。・・・授業後に始まるよ。;;;خذ شمسية لأن الجو سيكون ممطرا بعد الظهر إن شاء الله.‏|午後には雨が降るから、傘を持って行きなさい。;;;اغسل يديك وفمك قبل الأكل وبعده.‏|食事の前後には手と口を洗いなさい。;;;سأحصل على شهادة الدكتوراه في السنة بعد القادمة إن شاء الله.‏|私は再来年に博士号を取得する予定だ。;;;لَمْ تَجِئْ فَاطِمَةُ بَعْدُ.|ファーティマはまだ来ていません。;;;تعشينا في المطعم بعد أن انتهت الحفلة الموسيقيّة.‏|コンサートが終わった後，レストランで夕食行を摂りました。;;;متى ستسافر؟ ...بعد أسبوع إن شاء الله‏.‏|（男性に）いつ出発するんですか。…1週間後の予定です。;;;لم أكتب تقريري بعد.‏‎‏|まだレポートを書いていません。;;;وموعد الامتحان الاختباري بعد غد في الساعة العاشرة.‏|それから，プレイスメントテストは明後日の１０時です。;;;بعد أن تنتهي الحفلة الموسيقية سنذهب للعشاء.‏|コンサートが終わったら，夕食に行く予定です。;;;وماذا بعد؟|で，それから。;;;وموعد الامتحان الاختباري بعد غد في الساعة العاشرة.‏|それから，プレイスメントテストは明後日の１０時です。;;;وبعد الأكل نريد الشاي أو القهوة.‏|それと，食後にお茶かコーヒーが欲しいんですが。;;;سأقابلها بعد غياب طويل. فلقد اشتقت إليها كثيراً.‏|これから久しぶりに彼女に会うんだ。ほんと，彼女が恋しかったよ。;;;وماذا بعد؟ ... أدخل اسمك كاملاً وكلمة السرّ.‏|で，それから。…名前とパスワードを入れるの。;;;وموعد الامتحان الاختباريّ بعد غد في الساعة العاشرة.|それから，プレイスメントテストは明後日の１０時です。;;;ماذا تريد أن تفعل بعد عودتك إلى اليابان؟|日本に帰ったら，貴男は何をしたいですか。;;;أنا سعيد جدّاً اليوم لأنّني سأقابلها بعد غياب طويل.|久しぶりに彼女に会うんだから，今日はとっても幸せなんだ。;;;ما رأيكم أن نتعشّى معاً بعد الدوام؟‏|（複数の人に）仕事の後，一緒に夕食を食べませんか。;;;لم أقرّر بعد.‏‎‏|まだ決めていません。;;;وموعد الامتحان الاختباري بعد غد في الساعة العاشرة.‏|それから，プレイスメントテストは明後日の１０時です。;;;بعد أسبوع، إن شاء الله.|１週間後。;;;ما رأيكم أن نتعشّى معاً بعد الدوام؟‏|（複数の人に）仕事の後，一緒に夕食を食べませんか。;;;لا، ليس بعد.‏|いいえ，まだなんです。;;;تعشينا في مطعم بعد أن انتهت الحفلة الموسيقية.‏;;;أنا سعيد جدّاً اليوم لأنّني سأقابلها بعد غياب طويل.‏|久しぶりに彼女に会うから，今日はとてもうれしいんだ。;;;ارجع بعد أسبوع.‏‎‏|（男性に）一週間後にまた来てください。;;;ماذا تريد أن تفعل بعد عودتك إلى اليابان؟|日本に帰ったら，どうするの？;;;ماذا تريد أن تفعل بعد عودتك إلى اليابان؟|日本に帰ったら，貴男は何をしたいですか。;;;سأقابلها بعد غياب طويل. فلقد اشتقت إليها كثيراً.‏|これから久しぶりに彼女に会うんだ。ほんと，彼女が恋しかったよ。;;;وبعد الأكل نريد شاياً أو قهوة.‏|それと，食後にお茶かコーヒーが欲しいんですが。;;;وبعد الأكل نريد شاياً أو قهوة.‏|それと，食後にお茶かコーヒーが欲しいんですが。;;;المصرف لم يفتح بعد.‏‎‏|銀行はまだ開いてませんよ。;;;وعدت إلى بيتي بعد الظهر الأحد.‏|日曜の午後，家に戻りました。;;;أصبحت أدرس ليلاً ونهاراً بعد رسوبي في الامتحان.‏|試験に落第してから，昼も夜も勉強するようになりました。;;;حسناً، أريد أن أدعوك إلى الغداء في بيتي بعد الانتهاء من الامتحان.‏|じゃあ，試験が終わったらうちでの昼食に招待するわ。;;;بعد أن تنتهي الحفلة الموسيقيّة سنذهب للعشاء.‏|コンサートが終わったら，夕食に行く予定です。;;;أنا سعيد جدّاً اليوم لأنّني سأقابلها بعد غياب طويل.‏|久しぶりに彼女に会うから，今日はとてもうれしいんだ。;;;متى ستسافر؟ ...بعد أسبوع إن شاء الله‏.‏|（男性に）いつ出発するんですか。…1週間後の予定です。;;;نعم. ولكنّي لم أصبح بعد قادراً على الاستماع إلى الأخبار.‏‎‏|はい。でも，まだニュースが聞けるようになっていません。;;;أنا سعيد جدّاً اليوم لأنّني سأقابلها بعد غياب طويل.‏|久しぶりに彼女に会うから，今日は本当に幸せだよ。;;;وماذا بعد؟ ... أدخل اسمك كاملاً وكلمة السرّ.‏|で，それから。…名前とパスワードを入れるの。;;;هل تغدّيت؟ ... لا، لم أتغدّ بعد.‏‎‏|お昼は食べましたか。…いいえ，まだ食べていません。;;;وعدت إلى بيتي بعد الظهر الأحد.‏|日曜の午後，家に戻りました。	1	空間	1.1740
16892	ar	288	اِبْنُ عَمٍّ	［名詞］いとこ（父方）;<p class='search_txt'>ابن عم</p>	42	ابن عمي يعمل في شركة كومبيوتر.‏|私の従兄弟はコンピュータの会社で働いている。	1	家族	1.2150
16229	ar	290	جَدَّةٌ	［名詞］祖母√جدّ;<p class='search_txt'>جدة,جد</p>	499;1387;742;29;3004;2853;2820;278;2876;2911;2573;1431;149;2871;840;3024;743;787;109;346;279;629;354;2912;2325;964;238;2620;2551;889;3172;14;2582;3019;2330;2761;877;1404;2578;1223;963;62;2957;1075;2844;3028;1371;2666;93;103;1376;216;4	يا جدتي، احكي لي قصة جديدة.‏|おばあちゃん，新しいお話をしてよ。;;;لا أجد وقتاً كافياً لا للأكل ولا للنوم.‏|食事をする時間も寝る時間も十分にないんだ。;;;كما أنّ استعدادات المنتخب المصريّ في هذه المرّة جيّدة جدّاً.|それに，今回のエジプト代表の準備はバッチリよ。;;;طقس اليوم حار جدا، فلنذهب إلى المسبح.‏|今日はとても暑いので、プールに行きましょう。;;;الجوّ حارّ جدّاً ودرجةُ الحرارة مرتفعة.‏|とても暑いし，気温も高いです。;;;كما أنّ استعدادات المنتخب المصريّ في هذه المرّة جيّدة جدّاً.‏|それに，今回のエジプト代表の準備はバッチリよ。;;;نعم، كانت ممتعة جدّاً.‏|とても楽しかったです。;;;عدد المسلمين في اليابان قليل جدا.‏|日本のムスリム人口は非常に少ない。;;;يبدو أنّك متعب جدّاً.‏|とても疲れてるみたいだけど。;;;يبدو أنّك متعب جدّاً. ‏خيراً، إن شاء الله؟|とても疲れてるみたいだけど。どうかしたの？;;;نحن متأسّفون جدّاً.‏|本当にすみません。;;;أريد أن أشتري حاسوباً جديداً إذا كان رخيصاً.‏|安かったら，新しいコンピューターを買いたいです。;;;أخبرني عمي أن عصير الليمون مفيد جدا لمعالجة البرد.‏|おじさんは、風邪にはレモンジュースが効くと教えてくれた。;;;أنا آسف جدّاً لأنّني تأخّرت عن الموعد.‏|約束に遅れて本当にすみません。;;;أنا آسف جدّاً لأنّني تأخّرت عن الموعد.‏|約束の時間に遅れて，本当にごめん。;;;وكيف وجدته؟ ... إنّه طازج ولذيذ ولكنّه غال جدّاً.‏|で，どうだった？…新鮮でおいしいけど，とっても高いわ。;;;على كلّ حال، ستكون المباراة شيّقة جدّاً.|いずれにせよ，試合はかなり面白くなるね。;;;أنا سعيد جدّاً اليوم لأنّني سأقابلها بعد غياب طويل.|久しぶりに彼女に会うんだから，今日はとっても幸せなんだ。;;;يقول لي جدي دائما إن الحياة قصيرة.‏|祖父はいつも「人生は短い」と私に言う。;;;الشتاء في هذه السنة دافئ جدا فلا أشعر بالحاجة إلى المدفأة.‏|今年の冬はとても暖かかったので、ストーブが必要だとは思わなかった。;;;هذا القميص قذر جدا، عليك أن تغسله فورا.‏|このシャツすごく汚いよ。すぐに洗いな。;;;ولكنّه غال جدّا.|でも，とっても高いわ。;;;حاول الجنود أن يفتحوا باب القصر دون جدوى.‏|兵士たちは城門を開けようと試みたが、無駄だった。;;;أنا آسف جدّاً لأنّني تأخّرت عن الموعد.‏|約束に遅れて本当にすみません。;;;أنا سعيد جدّاً اليوم.‏|私（男性）は今日とても幸せなんです。;;;يبدو أنّك متعب جدّاً.‏|だからとても疲れて見えるのね。;;;زرت بيت خالتي ولم أجد فيه أحدا.‏|おばの家を訪れたが、誰もいなかった。;;;قاموسي صغير ولا أستطيع أن أجد الكلمات التي أبحث عنها.‏|ボクの辞書は小さくて，探している言葉が見つけられないんだ。;;;الجوّ حارّ جدّاً ودرجة الحرارة مرتفعة.‏|とても暑いし，気温も高いです。;;;قاموسي صغير ولا أستطيع أن أجد الكلمات التي أبحث عنها.‍‏|ボクの辞書は小さくて，探している言葉が見つけられないんだ。;;;وقضينا وقتاً ممتعاً جدّاً.‏|私たちはとても楽しい時を過ごしました。;;;إذا سافرت معنا فستكون الرحلة ممتعة جدا.‏|あなたが一緒に来てくれたら、きっと楽しい旅になる。;;;أنا سعيد جدّاً اليوم لأنّني سأقابلها بعد غياب طويل.‏|久しぶりに彼女に会うから，今日はとてもうれしいんだ。;;;نحن متأسّفون جدّاً.‏|本当にすみません。;;;الجوّ حارّ جدّاً ودرجة الحرارة مرتفعة.‏|とても暑いし，気温も高いです。;;;لم تكن حفلة أمس ممتعة جدّاً.‏‎‏|昨日のパーティーはあまり面白くありませんでした。;;;نحن متأسّفون جدّاً.‏|申し訳ございません。;;;أريد أن أشتري حاسوباً جديداً إذا كان رخيصاً.‏|安かったら，新しいコンピューターを買いたいです。;;;وكيف وجدته؟ ... إنّه طازج ولذيذ ولكنّه غال جدّاً.‏|で，どうだった？…新鮮でおいしいけど，とっても高いわ。;;;إنّه طازج ولذيذ ولكنّه غال جدّاً.‏|新鮮でおいしいけど，でもとっても高いわ。;;;فأنا مشغول لدرجة أنّني لا أجد وقتاً كافياً لا للأكل ولا للنوم.‏|食べる暇も寝る暇も十分にないくらい，忙しいんだ。;;;هذا غال جدا.‏|これはとても高い。;;;أنا آسف جدّاً لأنّني تأخّرت عن الموعد.‏|約束に遅れて本当にすみません。;;;تحت المسجد آثار قديمة.‏|モスクの下には古い遺跡があります。;;;إنّه طازج ولذيذ ولكنّه غال جدّاً.‏|新鮮でおいしいけど，とっても高いわ。;;;أنا سعيد جدّاً اليوم لأنّني سأقابلها بعد غياب طويل.‏|久しぶりに彼女に会うから，今日はとてもうれしいんだ。;;;إنّه طازج ولذيذ ولكنّه غال جدّاً.‏|新鮮でおいしいけど，でもとっても高いわ。;;;وقضينا وقتاً ممتعاً جدّاً.‏|私たちはとても楽しい時を過ごしました。;;;اشترت عمتي مسجلا جديدا.‏|おばさんは新しいラジカセを買いました。;;;من الأفضل أن ترتدي المعطف لأن الطقس هناك بارد جدا.‏|あっちはとても寒いから、コートを着ていったほうがいいよ。;;;أنا سعيد جدّاً اليوم لأنّني سأقابلها بعد غياب طويل.‏|久しぶりに彼女に会うから，今日は本当に幸せだよ。;;;وصلتنا اليوم تنورات جميلة جدا.‏|今日，とっても素敵なスカートが届いたんですよ。;;;إذا سافرت إلى الخارج فسوف تعرف أن العالم واسع جدا.‏|海外を旅すれば、世界がとても広いということがわかるだろう。	1	家族	1.2050
16223	ar	291	جَدٌّ	［名詞］祖父أَجْدَادٌ√جدّ;<p class='search_txt'>جد,أجداد,اجداد</p>	109;1387;742;29;3004;2853;2820;278;2876;2911;2573;1431;149;2871;840;3024;743;787;346;279;629;354;2912;2325;964;238;2620;499;2551;889;3172;14;2582;3019;2330;2761;877;1404;2578;1223;963;62;2957;1075;2844;3028;1371;2666;93;103;1376;216;4	يقول لي جدي دائما إن الحياة قصيرة.‏|祖父はいつも「人生は短い」と私に言う。;;;لا أجد وقتاً كافياً لا للأكل ولا للنوم.‏|食事をする時間も寝る時間も十分にないんだ。;;;كما أنّ استعدادات المنتخب المصريّ في هذه المرّة جيّدة جدّاً.|それに，今回のエジプト代表の準備はバッチリよ。;;;طقس اليوم حار جدا، فلنذهب إلى المسبح.‏|今日はとても暑いので、プールに行きましょう。;;;الجوّ حارّ جدّاً ودرجةُ الحرارة مرتفعة.‏|とても暑いし，気温も高いです。;;;كما أنّ استعدادات المنتخب المصريّ في هذه المرّة جيّدة جدّاً.‏|それに，今回のエジプト代表の準備はバッチリよ。;;;نعم، كانت ممتعة جدّاً.‏|とても楽しかったです。;;;عدد المسلمين في اليابان قليل جدا.‏|日本のムスリム人口は非常に少ない。;;;يبدو أنّك متعب جدّاً.‏|とても疲れてるみたいだけど。;;;يبدو أنّك متعب جدّاً. ‏خيراً، إن شاء الله؟|とても疲れてるみたいだけど。どうかしたの？;;;نحن متأسّفون جدّاً.‏|本当にすみません。;;;أريد أن أشتري حاسوباً جديداً إذا كان رخيصاً.‏|安かったら，新しいコンピューターを買いたいです。;;;أخبرني عمي أن عصير الليمون مفيد جدا لمعالجة البرد.‏|おじさんは、風邪にはレモンジュースが効くと教えてくれた。;;;أنا آسف جدّاً لأنّني تأخّرت عن الموعد.‏|約束に遅れて本当にすみません。;;;أنا آسف جدّاً لأنّني تأخّرت عن الموعد.‏|約束の時間に遅れて，本当にごめん。;;;وكيف وجدته؟ ... إنّه طازج ولذيذ ولكنّه غال جدّاً.‏|で，どうだった？…新鮮でおいしいけど，とっても高いわ。;;;على كلّ حال، ستكون المباراة شيّقة جدّاً.|いずれにせよ，試合はかなり面白くなるね。;;;أنا سعيد جدّاً اليوم لأنّني سأقابلها بعد غياب طويل.|久しぶりに彼女に会うんだから，今日はとっても幸せなんだ。;;;الشتاء في هذه السنة دافئ جدا فلا أشعر بالحاجة إلى المدفأة.‏|今年の冬はとても暖かかったので、ストーブが必要だとは思わなかった。;;;هذا القميص قذر جدا، عليك أن تغسله فورا.‏|このシャツすごく汚いよ。すぐに洗いな。;;;ولكنّه غال جدّا.|でも，とっても高いわ。;;;حاول الجنود أن يفتحوا باب القصر دون جدوى.‏|兵士たちは城門を開けようと試みたが、無駄だった。;;;أنا آسف جدّاً لأنّني تأخّرت عن الموعد.‏|約束に遅れて本当にすみません。;;;أنا سعيد جدّاً اليوم.‏|私（男性）は今日とても幸せなんです。;;;يبدو أنّك متعب جدّاً.‏|だからとても疲れて見えるのね。;;;زرت بيت خالتي ولم أجد فيه أحدا.‏|おばの家を訪れたが、誰もいなかった。;;;قاموسي صغير ولا أستطيع أن أجد الكلمات التي أبحث عنها.‏|ボクの辞書は小さくて，探している言葉が見つけられないんだ。;;;يا جدتي، احكي لي قصة جديدة.‏|おばあちゃん，新しいお話をしてよ。;;;الجوّ حارّ جدّاً ودرجة الحرارة مرتفعة.‏|とても暑いし，気温も高いです。;;;قاموسي صغير ولا أستطيع أن أجد الكلمات التي أبحث عنها.‍‏|ボクの辞書は小さくて，探している言葉が見つけられないんだ。;;;وقضينا وقتاً ممتعاً جدّاً.‏|私たちはとても楽しい時を過ごしました。;;;إذا سافرت معنا فستكون الرحلة ممتعة جدا.‏|あなたが一緒に来てくれたら、きっと楽しい旅になる。;;;أنا سعيد جدّاً اليوم لأنّني سأقابلها بعد غياب طويل.‏|久しぶりに彼女に会うから，今日はとてもうれしいんだ。;;;نحن متأسّفون جدّاً.‏|本当にすみません。;;;الجوّ حارّ جدّاً ودرجة الحرارة مرتفعة.‏|とても暑いし，気温も高いです。;;;لم تكن حفلة أمس ممتعة جدّاً.‏‎‏|昨日のパーティーはあまり面白くありませんでした。;;;نحن متأسّفون جدّاً.‏|申し訳ございません。;;;أريد أن أشتري حاسوباً جديداً إذا كان رخيصاً.‏|安かったら，新しいコンピューターを買いたいです。;;;وكيف وجدته؟ ... إنّه طازج ولذيذ ولكنّه غال جدّاً.‏|で，どうだった？…新鮮でおいしいけど，とっても高いわ。;;;إنّه طازج ولذيذ ولكنّه غال جدّاً.‏|新鮮でおいしいけど，でもとっても高いわ。;;;فأنا مشغول لدرجة أنّني لا أجد وقتاً كافياً لا للأكل ولا للنوم.‏|食べる暇も寝る暇も十分にないくらい，忙しいんだ。;;;هذا غال جدا.‏|これはとても高い。;;;أنا آسف جدّاً لأنّني تأخّرت عن الموعد.‏|約束に遅れて本当にすみません。;;;تحت المسجد آثار قديمة.‏|モスクの下には古い遺跡があります。;;;إنّه طازج ولذيذ ولكنّه غال جدّاً.‏|新鮮でおいしいけど，とっても高いわ。;;;أنا سعيد جدّاً اليوم لأنّني سأقابلها بعد غياب طويل.‏|久しぶりに彼女に会うから，今日はとてもうれしいんだ。;;;إنّه طازج ولذيذ ولكنّه غال جدّاً.‏|新鮮でおいしいけど，でもとっても高いわ。;;;وقضينا وقتاً ممتعاً جدّاً.‏|私たちはとても楽しい時を過ごしました。;;;اشترت عمتي مسجلا جديدا.‏|おばさんは新しいラジカセを買いました。;;;من الأفضل أن ترتدي المعطف لأن الطقس هناك بارد جدا.‏|あっちはとても寒いから、コートを着ていったほうがいいよ。;;;أنا سعيد جدّاً اليوم لأنّني سأقابلها بعد غياب طويل.‏|久しぶりに彼女に会うから，今日は本当に幸せだよ。;;;وصلتنا اليوم تنورات جميلة جدا.‏|今日，とっても素敵なスカートが届いたんですよ。;;;إذا سافرت إلى الخارج فسوف تعرف أن العالم واسع جدا.‏|海外を旅すれば、世界がとても広いということがわかるだろう。	1	家族	1.2050
16496	ar	292	والدة (morph:pl والدات)	母	289;191	أخرجت والدتي منديلا ومسحت الدموع التي كانت تحت نظارتها.‏|母はハンカチを取り出し、眼鏡の下の涙をぬぐった。;;;يرسل الابن نقودا إلى والدته العجوز كل شهر.‏|息子は年老いた母に毎月お金を送っている。	1	家族	1.2120
16866	ar	293	عَمٌّ	［名詞］（父方の）叔父、伯父أَعْمَامٌ√عمّ;<p class='search_txt'>عم,أعمام ,اعمام</p>	149;2507;3092;1396;391;2343;3089;2321;2657;1133;2472;1015;113;2841;2318;1490;2288;2828;188;2347;339;1132;1422;2290;2345;2474;2952;1511;1106;3091;2317;1512;2389;2535;2661;2904;2346;2475;2368;3069;3136;2344;2426;42;2659;1382;2613;2320;93;47;2975	أخبرني عمي أن عصير الليمون مفيد جدا لمعالجة البرد.‏|おじさんは、風邪にはレモンジュースが効くと教えてくれた。;;;في الساعة السابعة والربع أخرج إلى عملي.‏|7時15分に仕事に出かけます。;;;ابني عمره ٥ سنوات وبنتي عمرها سنتان.‏|息子の年齢は5歳で，娘の年齢は2歳です。;;;تعشينا في المطعم بعد أن انتهت الحفلة الموسيقيّة.‏|コンサートが終わった後，レストランで夕食行を摂りました。;;;في السنة الماضية حصلت بنت عمي على رخصة القيادة.‏|従姉妹は昨年、運転免許を取った。;;;ما عمل أبيك؟ ... هو مهندس.‏‎‏|貴女のお父さんの仕事は何ですか。…彼はエンジニアです。;;;كم عمركَ؟|貴男は何歳ですか。;;;ما عمل أمّك؟ ... هي موظّفة في شركة.‏‎‏|貴女のお母さんの仕事は何ですか。…彼女は会社員です。;;;سقت سيّارتي وزرت بيت عمّي.‏|車を運転して，おじさんの家を訪問しました。;;;أبي عمره ثلاث وخمسون سنة.‏|父は年齢が53歳です。;;;كم عمرك؟|貴男は何歳ですか。;;;ما عملك، يا سيّد تاكيشي؟|タケシさん，お仕事は何ですか。;;;أين المطعم العربي؟ ... على يسارك.‏|アラビック・レストランはどこですか。・・・右手にありますよ。 ;;;كنت أشتغل في عمل مؤقّت عندما كنت طالباً.‏|（男性が）学生のとき，アルバイトをしていました。;;;ما عملك؟‏‎|貴女の仕事は何ですか。;;;كم عمركَ؟|貴男は何歳ですか。;;;ما عملك؟‏‎|貴女の仕事は何ですか。;;;لا، كنت هناك في رحلة عمل.‏|いいえ，出張で向こうにいたんです。;;;مطعم الجامعة مزدحم دائما بالطلاب.‏|大学の食堂はいつも学生たちで混雑している。;;;ابني عمره ٥ سنوات وبنتي عمرها سنتان.‏|息子の年齢は5歳で，娘の年齢は2歳です。;;;أعطتني عمتي حلويات لذيذة.‏|おばさんは私においしいお菓子をくれた。;;;أمّي عمرها ثلاثة وأربعون عاماً.‏|母は年齢が43歳です。;;;تعشينا في مطعم بعد أن انتهت الحفلة الموسيقية.‏;;;ما عملك يا سيّد تاكيشي؟ ... أنا طالب.‏|タケシさん，お仕事は何ですか。…私は学生です。;;;ما عمل أمّك؟ ... هي موظّفة في شركة.‏‎‏|貴女のお母さんの仕事は何ですか。…彼女は会社員です。;;;زوجتي عمرها ٢٩ سنة.‏|私の妻の年齢は29歳です。;;;كنت أشتغل في عمل مؤقّت عندما كنت طالبة.‏|（女性が）学生のとき，アルバイトをしていました。;;;أمّي عمرها ثلاثة وأربعون عاماً.‏|母は年齢が43歳です。;;;كم عمرك؟|貴男は何歳ですか。;;;زوجتي عمرها ٢٩ سنة.‏|私の妻の年齢は29歳です。;;;ما عملك يا سيّد تاكيشي؟ … أنا طالب.‏|タケシさん，お仕事は何ですか。…私は学生です。;;;أبي عمره ثلاث وخمسون سنة.‏|父は年齢が53歳です。;;;أمام الفندق مطعم شعبيّ وأكله لذيذ.‏|ホテルの前に庶民的で，料理がおいしいレストランがありますよ。;;;مطعم (مطاعم)، مكتب (مكاتب)، مدرسة (مدارس)، فندق (فنادق)‏|レストラン，事務所，学校，ホテル;;;أمّا أنا فاسترحت في بيت عمّي ونمت هناك.‏|私はというと，おじさんの家でくつろぎ，あちらで寝ました。;;;كنت أشتغل في عمل مؤقّت عندما كنت طالباً.‏|（男性が）学生のとき，アルバイトをしていました。;;;أمّي عمرها ثلاثة وأربعون عاماً.‏|母は年齢が43歳です。;;;ابني عمره ٥ سنوات وبنتي عمرها سنتان.‏|息子の年齢は5歳で，娘の年齢は2歳です。;;;هناك عدّة مطاعم في هذا الشارع.‏|この通りにはいくつかレストランがあります。;;;ما عملك، يا سيّد تاكيشي؟|タケシさん，お仕事は何ですか。;;;في الساعة السابعة والربع أخرج إلى عملي.‏|7時15分に仕事に出かけます。;;;أبي عمره ثلاث وخمسون سنة.‏|父は年齢が53歳です。;;;ما عملك، يا سيّد تاكيشي؟ ... أنا طالب.‏|タケシさん，お仕事は何ですか。…私は学生です。;;;ابن عمي يعمل في شركة كومبيوتر.‏|私の従兄弟はコンピュータの会社で働いている。;;;وأكلنا وجبات شهيّة أعدّتها زوجة عمّي.‏|私たちはおばさんが用意してくれたおいしい食事を食べました。;;;تبدين أصغر بكثير من عمرك!‏|（女性に）年齢よりかなりお若く見えますね。;;;وأكلنا وجبات شهيّة أعدّتها زوجة عمّي.‏|私たちはおばさんが用意してくれたおいしい食事を食べました。;;;ما عمل أبيك؟ ... هو مهندس.‏‎‏|貴女のお父さんの仕事は何ですか。…彼はエンジニアです。;;;اشترت عمتي مسجلا جديدا.‏|おばさんは新しいラジカセを買いました。;;;ذهب أبي إلى عمله مع أنه مريض.‏|お父さんは病気なのに仕事へ行った。;;;مطعم (مطاعم)، مكتب (مكاتب)، مدرسة (مدارس)، فندق (فنادق)‏|レストラン，事務所，学校，ホテル	1	家族	1.2150
16488	ar	294	والدان	両親	80	والداي يزرعان الطماطم والبطاطس في حديقة البيت.‏|両親は庭でトマトとジャガイモを栽培している。	1	家族	1.2120
16495	ar	295	وَالِدٌ	［名詞］親、父親√ولد;<p class='search_txt'>والد,ولد</p>	81;80;84;325;3163;191;289;2711;3167;1440;1327;1184;1439;1183;1115;1502;157;230	يقضي والدي معظم وقته في البيت بعد تقاعده عن العمل.‏|退職後、父はほとんどの時間を家の中で過ごしている。;;;والداي يزرعان الطماطم والبطاطس في حديقة البيت.‏|両親は庭でトマトとジャガイモを栽培している。;;;كان والدي يجلس وحده في الغرفة المظلمة عندما رجعنا إلى البيت.‏|私たちが家に帰ると、父は暗い部屋に一人座っていた。;;;يشبه والده كثيرا بوجهه الأحمر وجسمه السمين.‏|彼は赤ら顔と太った体が彼の父親によく似ている。;;;سقت سيّارتي وزرت بيت والديّ.‏|車を運転して，実家（両親の家）を訪問しました。;;;يرسل الابن نقودا إلى والدته العجوز كل شهر.‏|息子は年老いた母に毎月お金を送っている。;;;أخرجت والدتي منديلا ومسحت الدموع التي كانت تحت نظارتها.‏|母はハンカチを取り出し、眼鏡の下の涙をぬぐった。;;;سأقضي عطلة العيد في بيت والديّ.‏|イード休みは実家（両親の家）で過ごします。;;;أمّا أنا فاسترحت في بيت والديّ ونمت هناك.‏|私はというと，実家（両親の家）でくつろぎ，あちらで寝ました。;;;سقت سيّارتي وزرت بيت والديَّ.‏|車を運転して，実家（両親の家）を訪問しました。;;;يسكن والدايَ في كيوتو، العاصمة القديمة.‏|私の両親は古都，京都に住んでいます。;;;سأقضي عطلة العيد في بيت والديَّ.‏|イード休みは実家（両親の家）で過ごします。;;;يسكن والدايَ في كيوتو، العاصمة القديمة.‏|私の両親は古都，京都に住んでいます。;;;يسكن والدايَ في كيوتو، العاصمة القديمة.‏|私の両親は古都，京都に住んでいます。;;;ولد، ولدان، ثلاثة أولاد، أربعة أولاد، خمسة أولاد|子供が1人，子供が2人，子供が3人，子供が4人，子供が5人;;;ولد، ولدان، ثلاثة أولاد، أربعة أولاد، خمسة أولاد|子供が1人，子供が2人，子供が3人，子供が4人，子供が5人;;;أغلق الولد باب غرفته.‏|男の子は部屋のドアを閉めた。;;;نادت الأم ولدها الذي كان يلعب مع أصدقائه في الحديقة.‏|母親は友達と公園で遊んでいた子供を呼びました。	1	家族	1.2120
